Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (BSA Assigned),Custom field (Business Comments),Custom field (Business Id),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Closed Bugs (ALM)),Custom field (Development),Custom field (Documentation Link),Custom field (End Date),Custom field (Epic Link),Custom field (FitGap Approver),Custom field (FitGap Comments),Custom field (INT1 Date),Custom field (INT1 TST),Custom field (INT3 Date),Custom field (INT3 TST),Custom field (INT4 Date),Custom field (INT4 TST),Custom field (INT5 Date),Custom field (INT5 TST),Custom field (Impact),Custom field (Investigation reason),Custom field (Issue color),Custom field (MSM ID),Custom field (Open Bugs (ALM)),Custom field (Operational categorization),Custom field (PROD RLS),Custom field (Pending reason),Custom field (Prod Date),Custom field (Product categorization),Custom field (QA Assigned),Custom field (Rank),Custom field (Recom. Prod Date),Custom field (Request Type),Custom field (Request participants),Custom field (Root cause),Custom field (SA Assigned),Custom field (SA Estimate),Custom field (SA Estimate),Custom field (SA FitGap),Custom field (SDD Link),Custom field (SIT Estimate),Satisfaction rating,Custom field (Severity),Custom field (Signed Off By),Custom field (Source),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Test Environment),Custom field (Time to approve normal change),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total Estimate),Custom field (Trainer for UAT Assigned),Custom field (UAT Business Tester),Custom field (UAT Estimate),Custom field (Urgency),Custom field (Workaround),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
CubiScan150's are all down and require servicing,DDCFUN-827,13180,Story,Completed,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Medium,Done,craig.kelly,craig.kelly,craig.kelly,08/Jul/19 1:50 PM,10/Jul/19 11:20 AM,22/Jul/19 11:10 AM,10/Jul/19 11:20 AM,,0,,,"Trying track down who ""owns"" the cubiscans. So far it is believed that we bought them via TecSys so I have contacted Marc-A to see if this true and if we have any service agreements.

",,craig.kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,craig.kelly,,N/A,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,INC-470532, ,, ,,,,bob.kang,1|i00i2v:,,,,,bikram.kahlon,,,,,,,,,,,,,,,,,,,,,,,,,,"09/Jul/19 9:17 AM;craig.kelly;I have been informed by TecSys that the CubiScan’s were purchased through TecSys. TecSys has approached CubiScan with a view to understanding Warranty and Service plans and will advise us of our options.

","10/Jul/19 11:20 AM;craig.kelly;Interweigh Systems (ISI) support walked me through a re-calibration of the scales, this process seems to have cured the issues at the moment. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Customer ID and Name to LDB Wave Management ,DDCFUN-792,13003,Story,Done,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Medium,Done,craig.kelly,craig.kelly,craig.kelly,18/Jun/19 3:33 PM,15/Jul/19 4:47 PM,26/Sep/19 3:41 PM,15/Jul/19 4:47 PM,,0,,,"The Wave Planners would like the Customer Store Number and Name added to the LDB Wave Management screen in the Order Header Sub View. Also the Stop Sequence, Trailer ID, Freight  Terms and Pack and Mark Separately can be removed.",,bikram.kahlon,craig.kelly,doug.mcdonald,jason.chen,nilesh.maha,,,,,,,,,,,,,,,,19/Jun/19 1:47 PM;jason.chen;CustomerStoreNumber&Name.PNG;https://bcldbit.atlassian.net/secure/attachment/10589/CustomerStoreNumber%26Name.PNG,21/Jun/19 12:00 PM;nilesh.maha;Post Testing-DDCFUN-792.docx;https://bcldbit.atlassian.net/secure/attachment/10610/Post+Testing-DDCFUN-792.docx,20/Jun/19 10:53 AM;nilesh.maha;Pre- Test- DDCFUN-792- INT3.docx;https://bcldbit.atlassian.net/secure/attachment/10598/Pre-+Test-+DDCFUN-792-+INT3.docx,,,,,,,,,,,,,,,,,,,,N/A,,,,,, ,{},,,DDCFUN-797,,,, ,,463047,, ,, ,,,,, ,,RLS-460202,,,,nilesh.maha,1|i00h47:,,,,,jason.chen,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-19 16:45:43.526,19/Jun/19 9:45 AM;bikram.kahlon;[~brad.rykenhuizen] jason is looking into this ticket,19/Jun/19 1:51 PM;jason.chen;[~craig.kelly] The attached CustomerStoreNumber&Name.png is a screenshot from Outbound Orders/Details view.  Please confirm if the two highlighted fields in the screenshot are the columns to be added to LDB Wave Management.,"19/Jun/19 2:20 PM;craig.kelly;Hi Jason, Yes these are the two columns to be added.","20/Jun/19 10:53 AM;nilesh.maha; [^Pre- Test- DDCFUN-792- INT3.docx] 
[~jason.chen], [~craig.kelly],[~sandeep.sangi], [~bikram.kahlon]
Pre- Test IS Completed in INT3 for - DDCFUN-792 

Order- 881626
Wave- W7612

Test Result- Same as expected, Where Wave planner can not see “ Customer Store Number and Name”  Under “ LDB Wave Management Screen” – INT3

Please find the attached document for more details","20/Jun/19 3:57 PM;jason.chen;Hi [~nilesh.maha], the changes have been deployed to INT3.  Please test.  Thanks.","21/Jun/19 12:02 PM;nilesh.maha;
[~jason.chen][~bikram.kahlon],[~sandeep.sangi],[~craig.kelly]
Post Testing- DDCFUN-792

Order- 881652, W7626

Test Result – Same as expected, where “Customer Store Number and Name” is added to LDB Wave Management

Removed Columns- Stop Sequence, Freight Terms, Trailer ID and Pack and Mark Separately
 [^Post Testing-DDCFUN-792.docx] 
Please find the attached document for more details.","25/Jun/19 10:19 AM;jason.chen;Hi [~craig.kelly], this ticket is ready for UAT.",25/Jun/19 10:20 AM;jason.chen;[~craig.kelly] The changes have been deployed to INT3 and INT1.,28/Jun/19 3:43 PM;craig.kelly;Tested with Tony H and Trevor C,11/Jul/19 9:06 AM;doug.mcdonald;Was there any comment from Tony H and Trevor? What was there feedback?,11/Jul/19 9:10 AM;craig.kelly;Trevor and Tony were very happy with the change. Especially as the no longer need to click through each order in the wave to determine which store the order was for.,"11/Jul/19 2:51 PM;jason.chen;Bikram reviewed the changes, the RLS/TST, and the deployment artifacts on July 9.",15/Jul/19 4:46 PM;jason.chen;The changes were deployed to PROD on July 11.,15/Jul/19 4:47 PM;jason.chen;The changes are backfilled to INT4/INT5/TRN.,,,,,,,,,,,,,,,
PO Receipt Closeout Exception Report,DDCFUN-754,12951,Story,Done,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Medium,Done,tess.gotengco,tess.gotengco,tess.gotengco,04/Jun/19 12:28 PM,18/Jul/19 9:25 AM,26/Sep/19 3:41 PM,18/Jul/19 9:25 AM,,0,,,"Current BI report PO Receipt Closeout Interface Validation Report needs to refined in order to deliver a more accurate information that would be actioned by the responsible parties which are the warehouse or demand planners

Finance and Demand Planners do not have direct access to TECsys which is the source of the information contained in BI report PO Receipt Closeout Interface Validation Report.",,tess.gotengco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tess.gotengco,,N/A,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,INC-449438, ,, ,,,,,1|i00gtb:,,,,,hanh.nguyen,,,,,,,,,,,,,,,,,,,,,,,,,,17/Jun/19 2:18 PM;tess.gotengco;This is now with BI Team (Stanley Huang),"25/Jun/19 11:06 AM;tess.gotengco;Testing was successful. Security will be coordinated, SOP next",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick by Order picking screen requires 3 decimals for quantity picked,DDCFUN-752,12949,Story,Canceled,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Low,Done,david.robbins,ales.eisner,ales.eisner,03/Jun/19 3:51 PM,10/Jul/19 4:18 PM,26/Sep/19 3:41 PM,10/Jul/19 4:18 PM,,0,Outbound,,"The Pick by Order picking screen on the handheld is forcing the user to enter three decimal points on a quantity e.g. ""1.000"".  The system should have the user enter only the whole number e.g. ""1"".  This was witnessed by following a picker and looking over their shoulder.

This does not (reportedly) happen on Pick by Container.

If this is not happening, inform Training to inform the pickers they don't have to enter the three decimals.",,ales.eisner,david.robbins,jason.kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,david.robbins,,NA,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,, ,, ,,,,,1|i00gsv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-12 04:06:16.685,"11/Jun/19 9:06 PM;jason.kelly;Hi [~ales.eisner] did you pass this ticket over to David or Craig

Can you please update the assignee value

thanks

Jason ",17/Jun/19 5:38 PM;david.robbins;3 decimal places is not required in INT3 using desktop. Need to follow-up with an Assembler using a mobile device to confirm the problem (or aks QA to replicate in INT3),10/Jul/19 4:18 PM;david.robbins;[~lauren.mackenzie] I am cancelling this ticket as discussed. Assembler do not need to worry about the decimal places when recording the quantity picked. This is only a display issue that they familiar with already,,,,,,,,,,,,,,,,,,,,,,,,,,
CPRE Printing,DDCFUN-824,13177,Story,Canceled,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Medium,Done,lauren.mackenzie,jason.kelly,jason.kelly,08/Jul/19 11:00 AM,16/Jul/19 1:01 PM,26/Sep/19 3:41 PM,16/Jul/19 1:01 PM,,0,,,"Issue statement provided by Justin P
CPREs for high value picks are supposed to print out upstairs in the Inventory Management area.
2 weeks ago, they stopped printing upstairs and have been printing out downstairs in the wave planners area.
Len, Mike rose, and Jim Shape all say that they have submitted a ticket for this, but have seen no action.",,jason.kelly,lauren.mackenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lauren.mackenzie,,NA,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,, ,, ,,,,bob.kang,1|i00i27:,,,,,bikram.kahlon,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-15 21:32:49.647,15/Jul/19 2:32 PM;lauren.mackenzie;Followed up with Len and Mike to confirm this is still happening. ,"16/Jul/19 8:59 AM;lauren.mackenzie;Discussed with Len Tong, who confirmed that a high value CPRE printed out upstairs yesterday.  He will continue to monitor and will let me know if the CPREs don’t print upstairs. 

[~jason.kelly] I believe we can cancel this ticket. 

",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill of lading - Freight charge terms,DDCFUN-795,13010,Story,Canceled,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,High,Done,lauren.mackenzie,jason.kelly,jason.kelly,19/Jun/19 11:38 AM,19/Jun/19 12:28 PM,26/Sep/19 3:41 PM,19/Jun/19 12:27 PM,,0,,,"Issue reported:
The ops team has identified an issue with the shipping documentation with the freight billing terms. 
* The bill of lading documentation has the “pre-paid” section hard coded with an X indicator for pre-paid freight terms
* This is an issue for customers that are not on pre-paid terms such as the liquor boards in the Yukon
* Based on previous discussion there is no field in TECSYS that can hold this customer information (this needs to be further validated)
* This can impact the LDB financially with having pre-paid freight costs for customers who should have been collect

",,jason.kelly,,,,,,,,,,,,,,,,,,,,19/Jun/19 11:37 AM;jason.kelly;image-2019-06-19-11-37-13-831.png;https://bcldbit.atlassian.net/secure/attachment/10588/image-2019-06-19-11-37-13-831.png,,,,,,,,,,,,,,,,,,,,lauren.mackenzie,,NA,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,, ,, ,,,,,1|i00h4v:,,,,,bikram.kahlon,,,,,,,,,,,,,,,,,,,,,,,,,,"19/Jun/19 12:28 PM;jason.kelly;Cancelled as a duplicate ticket
https://bcldbit.atlassian.net/browse/DDCFUN-768",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process Improvement of Vendor Payment,DDCFUN-823,13176,Story,Requirement Gathering,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,High,,tess.gotengco,tess.gotengco,tess.gotengco,08/Jul/19 9:34 AM,25/Jul/19 9:06 AM,26/Sep/19 3:41 PM,,,0,,,This is a Finance initiative to validate and approve payment for receipts. This is to form INTERIM and Long Term solution.,,tess.gotengco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tess.gotengco,,NA,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,, ,, ,,,,,1|i00i1z:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDB PO Receipt Closeout Page process improvement  (Warehouse request),DDCFUN-800,13016,Story,Requirement Gathering,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Medium,,tess.gotengco,tess.gotengco,tess.gotengco,20/Jun/19 9:46 AM,31/Jul/19 11:55 AM,26/Sep/19 3:41 PM,,,0,,,This is to include more fields to accurately display relevant information that would enable warehouse staff to action the receipt closeout in one page,,tess.gotengco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tess.gotengco,,NA,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,, ,, ,,,,,1|i00h67:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eBiz PO Receipt Interface Exception Report,DDCFUN-799,13015,Story,In-Development,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Medium,,tess.gotengco,tess.gotengco,tess.gotengco,20/Jun/19 9:19 AM,03/Jul/19 9:35 AM,26/Sep/19 3:41 PM,,,0,,,This is part of Finance Initiative for PO Receipt Closeout - which refers to the eBiz side of the PO Receipt Closeout,,tess.gotengco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tess.gotengco,,NA,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,, ,, ,,,,,1|i00h5z:,,,,,hanh.nguyen,,,,,,,,,,,,,,,,,,,,,,,,,,25/Jun/19 11:09 AM;tess.gotengco;Analysis of eBiz errors \- will involve Demand Planners,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance list of issues,DDCFUN-756,12953,Story,Requirement Gathering,DDCFUN,DDC Stabilization 2019,software,brad.rykenhuizen,,,Medium,,tess.gotengco,tess.gotengco,tess.gotengco,05/Jun/19 5:30 PM,31/Jul/19 11:55 AM,26/Sep/19 3:41 PM,,,0,,,"Link from Finance:
http://headoffice.bcldb.com/projects/LDBDC/Project Documents/Forms/AllItems.aspx?RootFolder=%2Fprojects%2FLDBDC%2FProject%20Documents%2FSOP%20Documents&FolderCTID=0x012000BDBF546D2ED1BC4DB7D37C1DC3E7BA45&View=%7BF6A21089%2DDE84%2D4216%2D8E3A%2DB682625E0CB9%7D&InitialTabId=Ribbon%2EDocument&VisibilityContext=WSSTabPersistence

Finance gave us a list of outstanding Critical issue which are the following:
1. PO Receipt Closeout Exception Report
2. eBiz PO Receipt Exception Report
3. Shipping Interface Exceptions
4. Inventory Adjustment Interface
5. Non-Case Receiving - RESOLVED
6. Follow up on Virtual Returns
7. Follow up on Virtual Transfer SOP
8. Cycle Count Adjustment Process and SOP
9. Annual Cycle Count SOP
10. Merchandise Management",,jason.kelly,tess.gotengco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,, ,{},,,,,,, ,, ,, ,, ,,,,, ,, ,,,,,1|i00gtr:,,,,,juliana.morlet,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-12 04:20:48.956,"11/Jun/19 9:20 PM;jason.kelly;Hi 
[~tess.gotengco] and [~juliana.morlet] 
can you please update the assignee on the sub tasks to indicate which ones you are both working on 

thanks

Jason","19/Jun/19 10:08 AM;jason.kelly;hi [~tess.gotengco] and [~juliana.morlet]

could you please add the sharepoint link to the comments that you are updating for finance

thanks

Jason ",,,,,,,,,,,,,,,,,,,,,,,,,,,
